,ID,EASTING,NORTHING,bedrock_geology__LEX_ROCK,mean_SLOPE_50m_buffer,mean_ASPECT_50m_buffer,mean_PLAN_CURVE_50m_buffer,mean_PROFILE_CURVE_50m_buffer
6,7,368694.0344,416221.5938,PLCM-MDSS,4.196448854,150.26566430000003,-0.016220602,-0.010749891999999999
121,122,367931.2348,419863.4738,GAS-SDST,9.104469755,88.90873838,-0.010475640999999999,0.002862924
122,123,368469.8519,420430.92299999995,RR-SDST,7.970966944,87.26060416,0.010152292,0.021475982
123,124,369688.8699,419794.3169,HER-SDST,4.583859072,246.54934930000002,0.004688424,0.015866068
135,136,369676.1555,423480.1991,OL-SDST,3.7799757030000003,207.0789523,-0.007719373000000001,0.014889006000000002
199,200,367888.1397,415307.4528,MARSD-MDSS,6.424004675,148.87520769999998,-0.008417461,0.005413576
201,202,367601.0882,415403.2531,MARSD-MDSS,6.318386731,164.5834044,-0.002358264,0.005886645
241,242,368203.3908,423890.4696,OL-SDST,3.0349853589999998,156.3680545,-0.002175069,0.002824222
242,243,368262.4563,423663.1822,OL-SDST,2.9193590289999998,166.0925251,-0.005930021,0.005811111
258,259,369109.4476,423543.6185,OL-SDST,3.8720348689999997,210.24401780000002,0.0008186789999999999,0.020214548
308,309,368794.8771,413736.5588,ROSSE-MDSI,5.248784512,94.82949415,0.005582881,-0.000448746
314,315,369829.0467,413782.3526,ON-SDST,4.882685229,150.3554855,-0.005166324,-0.012176144
315,316,368636.08,414305.8048,ROSSE-MDSI,5.586923057999999,116.6678994,-0.008954403,0.019112217
316,317,368568.2624,415121.3378,MARSD-MDSS,6.209463399,141.583015,-0.013770427,0.0038130679999999998
317,318,367689.9428,414960.8218,HSG-SDST,6.619131512999999,125.0630355,-0.003993438,0.015870058
318,319,367948.9389,416727.25700000004,PLCM-MDSS,4.3567086669999995,143.8667126,-0.006803897,0.0034246479999999998
320,321,369558.2922,418025.4851,PLCM-MDSS,6.119763255,118.87797549999999,0.010942548,0.003249096
322,323,369438.7854,418562.9565,PLCM-MDSS,5.894375192,104.2855686,-0.0010794939999999999,-0.011096721
323,324,369639.8922,418505.6419,PLCM-MDSS,6.0039796260000005,122.5266226,0.010018813,-0.013267548
324,325,369971.9778,419289.4285,PLCM-MDSS,5.448232722,229.7000884,0.000517241,0.003453883
339,340,367878.43,423992.3058,DK-SDST,2.768481253,103.8765185,0.00432436,0.013078536000000002
340,341,369794.6633,423784.7785,OL-SDST,3.3090603360000004,214.56097569999997,-0.004878451,0.007974437
415,416,369290.87700000004,423695.9823,PLCM-MDSS,3.25767204,222.6355011,-1.91e-05,0.01525863
441,442,367946.0897,415383.2882,MARSD-MDSS,6.667449551,140.8313756,-0.00397033,0.008522736
451,452,368311.0673,414694.8787,MARSD-MDSS,6.522479468999999,126.80444140000002,-0.0027553309999999998,-0.001067596
475,476,366990.8629,421974.0554,LH-SDST,7.684205446,196.6968545,-0.005471285,0.021329872000000003
